keyword,question_1,answer_1,question_2,answer_2,question_3,answer_3,question_4,answer_4,question_5,answer_5
animales acuaticos y terrestres,¿Cuáles son los animales acuáticos y terrestres?,"Los animales terrestres son animales que viven predominante o totalmente en la tierra, a diferencia de los animales acuáticos, que viven predominante o totalmente en el agua o los anfibios, que dependen de la combinación de hábitats terrestres y acuáticos.",¿Cuáles son las características de los animales acuaticos y terrestres?,"Características físicas para la adaptación al medio: como en los acuáticos, los animales terrestres tienen características concretas para adaptarse a su hábitat. Por ejemplo, no tienen aletas para nadar como los acuáticos, sino patas, alas o tras formas que les permiten desplazarse en tierra y aire.",¿Cuáles son los nombres de los animales acuaticos?,"Rotíferos.
Equinodermos.
Reptiles.
Mamíferos.
Poríferos.
Peces.
Moluscos.
Gusanos marinos.",¿Cómo se llaman los animales terrestres?,"Así, los filos (phylum) propiamente terrestres en el mundo son diez: platelmintos, nemertinos, nematodos, rotíferos, tardígrados, onicóforos, artrópodos, moluscos, anélidos y cordados.
Clasificación de los animales terrestres Así, los filos (phylum) propiamente terrestres en el mundo son diez: platelmintos, nemertinos, nematodos, rotíferos, tardígrados, onicóforos, artrópodos, moluscos, anélidos y cordados.",¿Qué animales son acuáticos y terrestres?,"Los animales que viven en el agua se llaman acuáticos. Ejemplos de estos son: peces, corales, pulpos y algas. Estos pueden vivir cerca de la superficie o en el fondo, entre las plantas o en cuevas. Los animales terrestres viven en la superficie de la tierra."
mexico animales,What type of vegetation does Mexico have?,"Tropical vegetation
› wiki › Tropical_vegetation
The four types of vegetation in Mexico, divided into two important biogeographic zones by the Tropic of Cancer: Tropical vegetationTropical vegetationTropical grasslands, savannas, and shrublands are spread over a large area of the tropics with a vegetation made up mainly of low shrubs and grasses, often including sclerophyll species.https://en.wikipedia.org › wiki › Tropical_vegetationTropical vegetation - Wikipedia, with both deciduous and rain forests; pine-oak forests, with coniferous and Quercus- Pinus forests; cloud, subtropical, or mesophytic forests; and arid or xerophytic vegetation.
Tropical vegetationTropical grasslands, savannas, and shrublands are spread over a large area of the tropics with a vegetation made up mainly of low shrubs and grasses, often including sclerophyll species.https://en.wikipedia.org › wiki › Tropical_vegetationTropical vegetation - Wikipedia
The four types of vegetation in Mexico, divided into two important biogeographic zones by the Tropic of Cancer: Tropical vegetation, with both deciduous and rain forests; pine-oak forests, with coniferous and Quercus- Pinus forests; cloud, subtropical, or mesophytic forests; and arid or xerophytic vegetation.The four types of vegetation in Mexico, divided into two important biogeographic zones by the Tropic of Cancer: Tropical vegetationTropical vegetationTropical grasslands, savannas, and shrublands are spread over a large area of the tropics with a vegetation made up mainly of low shrubs and grasses, often including sclerophyll species.https://en.wikipedia.org › wiki › Tropical_vegetationTropical vegetation - Wikipedia, with both deciduous and rain forests; pine-oak forests, with coniferous and Quercus- Pinus forests; cloud, subtropical, or mesophytic forests; and arid or xerophytic vegetation.
Tropical vegetationTropical vegetationTropical grasslands, savannas, and shrublands are spread over a large area of the tropics with a vegetation made up mainly of low shrubs and grasses, often including sclerophyll species.https://en.wikipedia.org › wiki › Tropical_vegetationTropical vegetation - Wikipedia",What kind of wildlife is in Mexico?,"Mammal species found in Mexico include opossums, manatees (fully aquatic herbivorous mammals), armadillos, sloths, anteaters, tamanduas, howler and spider monkeys, porcupines, agoutis, pacas, squirrels, chipmunks, beavers, gophers, prairie dogs, tapirs, kangaroo rats, voles, shrews, bats, whales and dolphins.",Do hyenas live in Mexico?,"Although only four hyena species exist today, the prehistoric world was full of them: nearly species are currently known to have once roamed the planet. Signs of running hyenas specifically have been found across the southern United States and Mexico, as well as in Africa, Asia and Europe.",What animals are only found in Mexico?,"Spider monkey. The spider monkey (Ateles geoffroyi) is an adorable little creature with large eyes and gangly limbs.
Axolotl. This creature is very strange-looking, andin critical danger of extinction.
Cacomistle.
Mexican prairie dog.
Ocelot.
Vaquita porpoise.
Coati.
Cenzontle.",What are the types of vegetation?,"Vegetation regions can be divided into five major types: forest, grassland, tundra, desert, and ice sheet."
animales con t,animales con t,,¿Qué animal empieza con I?,"Conoce al impala, al indri y al insecto palo, por solo mencionar algunos de los animales que empiezan por I.",¿Qué animal hay con la letra N?,"Narval. Es un cetáceo cuya característica más distintiva es una cresta o cuerno que sobresale de su cabeza, y que puede llegar a medir un metro de largo.
Navaja.
Nautilus.
Nauyaca.
Nécora.
Necturo.
Negrón.
Nilgó",¿Qué animal comienza con A?,,¿Qué animal empieza Q?,
nombres de animales marinos,nombres de animales marinos,"Ballena azul.
Cachalote.
Calamar gigante.
Tiburón ballena.
Tiburón peregrino.
Orca.
Mantarraya.
Rorcual común.",¿Cuáles son los nombres de los animales marinos?,"Rotíferos.
Equinodermos.
Reptiles.
Mamíferos.
Poríferos.
Peces.
Moluscos.
Gusanos marinos.",¿Cuáles son los animales de agua?,"Cetáceos. Como la ballena, la beluga y el delfín.
Pinnípedos. Como la foca, el elefante marino y la morsa.
Sirenios. Como el manatí y el dugongo.
Paquidermos. Como el rinoceronte y el hipopótamo.
Roedores. Como la nutria y el carpincho.",¿Cuáles son los animales de agua?,"Cetáceos. Como la ballena, la beluga y el delfín.
Pinnípedos. Como la foca, el elefante marino y la morsa.
Sirenios. Como el manatí y el dugongo.
Paquidermos. Como el rinoceronte y el hipopótamo.
Roedores. Como la nutria y el carpincho.",¿Cuáles son los animales de agua?,"Cetáceos. Como la ballena, la beluga y el delfín.
Pinnípedos. Como la foca, el elefante marino y la morsa.
Sirenios. Como el manatí y el dugongo.
Paquidermos. Como el rinoceronte y el hipopótamo.
Roedores. Como la nutria y el carpincho."
frases de animales,¿Quien ama los animales frases?,"""Hasta que no hayas amado a un animal, una parte de tu alma permanecerá dormida"", Anatole France.
""El amor puro y sincero no necesita palabras"".
""Amor es una palabra de cuatro patas"".
""Algunos ángeles no tienen alas, tienen cuatro patas"".",¿Cómo es el amor de los animales?,"Y es que, si hablamos de cariño y de animales, entra en escena un factor clave: el amor incondicional. Un animal no juzga a su dueño por sus habilidades, por su pasado o por su aspecto. Por ello, el vínculo que se crea es puro, en definitiva, incondicional.",¿Cuando un animal es una mascota?,"Las mascotas son animales domésticos, también son llamados animales de compañía y como su nombre lo indica son conservados por sus dueños para formar parte de la familia, disminuir la soledad y traer la alegría a sus hogares.",¿Quién no ha amado a un animal?,"""Hasta que no hayas amado a un animal, una parte de tu alma permanecerá dormida."" Anatole France.",¿Cuando uno ama a los animales?,"El bestialismo es considerado un trastorno de la conducta, originado por alteraciones mentales que producen que el individuo proyecte pensamientos, sensaciones y emociones estrictamente humanas, hacia los animales."
animales prehistoricos,animales prehistoricos,"Tigre dientes de sable (Smilodon spp.)
Oso cavernario (Ursus spelaeus)
Megalania (Megalania prisca)
Paraceratherium spp.
Glyptodon spp.",¿Qué animales vivieron en la prehistoria?,"Argentavis Magnificens.
Archaeopteryx.
Meganeura.
Águila de Haast.
Predator X.
Eurypterida.
Dunkleosteus.
Gorgonopsia.",¿Cuál es el animal más prehistorico?,"El misterio del Dickinsonia, el animal más antiguo del planeta, que vivió hace 558 millones de años.",¿Qué animales habitaron en la prehistoria?,"Argentavis Magnificens.
Archaeopteryx.
Meganeura.
Águila de Haast.
Predator X.
Eurypterida.
Dunkleosteus.
Gorgonopsia.",¿Qué animales han sobrevivido desde la prehistoria?,"Mixinos.
Ornitorrinco (Ornithorhynchus anatinus)
Esturión (Ascipenser spp.)
Rana pintada de Hula (Discoglossus nigriventer)
Pececillos de plata (Lepisma saccharina)"
animales que viven en los árboles,animales que viven en los árboles,"Canguro arborícola.
Binturong.
Rana voladora de Helen.
Orangután.
Gibón.
Ardilla voladora.",¿Cuáles son los animales q viven en los árboles?,Otros animales que viven en los árboles Orangutanes (Pongo spp.) Gibón (Hoolock hoolock) Ardilla voladora siberiana (Pteromys volans) Búho americano (Bubo virginianus) Orangutanes (Pongo spp.) Gibón (Hoolock hoolock) Ardilla voladora siberiana (Pteromys volans) Búho americano (Bubo virginianus),¿Qué especies viven en el árbol?,"Canguro arborícola.
Binturong.
Rana voladora de Helen.
Orangután.
Gibón.
Ardilla voladora.",¿Por qué los pájaros viven en los árboles?,Estos sirven como nutrición para aves y pequeños organismos. El ciclo de la vida depende mucho del estado general de las bosques tropicales. Todos los animales que comen árboles y necesitan refugio desaparecerán lentamente debido a la interferencia humana.,¿Qué animales duermen en los árboles?,"Iguana (Iguana spp.)
Búho americano (Bubo virginianus)
Orangután (Pongo spp.)
Koala (Phascolarctos cinereus)
Termitas (Isoptera)
Rana voladora de wallace (Rhacophorus nigropalmatus)
Carpintero gigante (Campephilus magellanicus)
Arañas (Aranae)"
animales carnívoro,animales carnívoro,"Los animales carnívoros, también conocidos como zoófagos, son los que se alimentan mayormente del tejido orgánico de otros animales, incluyendo su carne, órganos y huesos. No solo se trata de animales que comen exclusivamente carnes rojas y mamíferos, también incluye los que ingieren cualquier tipo de animal.",¿Cuáles son los 4 animales carnívoros?,,¿Cuáles son los animales carnívoros para niños?,"Leones, tigres y osos.
Tiburones, pingüinos y cocodrilos.
Serpientes, tortugas y mucho tipos de insectos.",¿Qué animales son carnívoros ejemplos?,"Felinos: Gato, félidos grandes y mangostas.
Algunos cánidos: Lobo, perro doméstico, hienas, etc.
Algunos mustélidos: Huron, oso polar, ballenas, delfines, murciélagos.",¿Cuántos tipos de animales carnívoros existen?,"Carnívoros estrictos. Aquellos que comen carne proveniente de otros animales vertebrados, como mamíferos, aves o reptiles.
Piscívoros. Aquellos que devoran peces y otras formas de vida marina no mamífera.
Insectívoros. Aquellos que se nutren de insectos y otros artrópodos."
experimentos con animales,¿Qué experimentos se hacen con los animales?,"Se usan aves, reptiles y ranas en experimentos relativos a la diabetes, el cáncer de hígado, cuestiones neurobiológicas, y en muchos otros experimentos. Vacas. Se usan vacas en experimentos que incluyen transplantes de órganos, diabetes y enfermedades cardíacas, entre otros.",¿Qué es lo bueno de la experimentación con animales?,"La experimentación animal ha ayudado a desarrollar vacunas, como por ejemplo contra la polio, tuberculosis, meningitis y, recientemente, el papilomavirus humano (PVH) el cual está relacionado con el cáncer de cervix.",¿Por qué es malo experimentar con animales?,"Los experimentos en animales prolongan el sufrimiento de personas en espera de curas eficaces por falsos científicos y el derroche de dinero, tiempo y recursos valiosos que podrían haber sido utilizados en investigaciones humanas relevantes.",¿Qué marcas experimentan con animales?,"Clinique.
Olay.
Victoria´s Secret.
Dolce&Gabbana.
Johnson&Johnson.
Giorgio Armani.
L´oréal.
Dior.",¿Qué tipos de experimentos se realizan con animales?,"Investigación agroalimentaria: estudio de genes con interés agronómico y diseño de plantas o animales transgénicos.
Medicina y veterinaria: diagnóstico de enfermedades, creación de vacunas, tratamiento y cura de enfermedades, etc.
Biotecnología: producción de proteínas, bioseguridad, etc."
animales que comen carne,animales que comen carne,,¿Cuáles son los animales omnívoros lista?,"Todos los cerdos.
Casi todos los osos, menos el oso polar.
Los perros, zorros y chacales pueden comer de todo, pero su dieta preferida es la carnívora.
Erizos, coatíes, mapaches, zarigüeyas, mofetas y roedores (ratón, ratas y ardillas).",¿Qué animales comen pasto y carne?,"Mamíferos: El ser humano. La mayoría de los suiformes, como los cerdos y jabalíes.
Aves: Aves del género Rhea (el avestruz y el ñandú).
Algunos peces, como las pirañas.
Algunos reptiles del clado Lacertilia y algunas tortugas.",¿Cuál es el animal más carnívoro del mundo?,"A pesar de que no comen carne de otro tipo, sigue siendo el animal carnívoro más grande, y se encuentra en peligro de extinción.

#1 Ballena Azul A pesar de que no comen carne de otro tipo, sigue siendo el animal carnívoro más grande, y se encuentra en peligro de extinción.",¿Cuáles son los animales omnívoros ejemplos?,"Todos los cerdos.
Casi todos los osos, menos el oso polar.
Los perros, zorros y chacales pueden comer de todo, pero su dieta preferida es la carnívora.
Erizos, coatíes, mapaches, zarigüeyas, mofetas y roedores (ratón, ratas y ardillas)."
