name,slug,manufacturer,price,availability,images
Sebamed Anti Hairloss Shampoo - 200ml,sebamed-anti-hairloss-shampoo---200ml-28569,Sebamed,650.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I01272/sebamed-anti-hairloss-shampoo-bottle-of-200-ml-2-1601980635.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kesh King Ayurvedic Hair Oil Bottle Of 300 Ml,kesh-king-ayurvedic-hair-oil-bottle-of-300-ml-172204,Kesh King,280.50,True,https://cdn01.pharmeasy.in/dam/products_otc/I05671/kesh-king-ayurvedic-hair-oil-bottle-of-300-ml-2-1613111815.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 60ml,selsun-shampoo-60ml-21837,SELSUN,157.60,True,https://cdn01.pharmeasy.in/dam/products_otc/157660/selsun-shampoo-60ml-2-1603774433.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 120ml Shampoo,selsun-daily-bottle-of-120ml-shampoo-212592,SELSUN,279.20,True,https://cdn01.pharmeasy.in/dam/products_otc/I38335/selsun-daily-bottle-of-120ml-shampoo-1-1604326559.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Cleanser Shampoo Bottle Of 100 Ml,indulekha-bringha-hair-cleanser-shampoo-bottle-of-100-ml-222337,Indulekha,121.50,True,https://cdn01.pharmeasy.in/dam/products_otc/I48080/indulekha-bringha-hair-cleanser-shampoo-bottle-of-100-ml-2-1613637042.jpg?dim=300x0&f=jpg&dpr=3&q=60
Moha Aloe Vera Moisturizer Tube Of 200 Gm(buy 1 Get 1 Free),moha-aloe-vera-moisturizer-tube-of-200-gm-buy-1-get-1-free--487664,MOHA,69.30,True,https://cdn01.pharmeasy.in/dam/products_otc/T05185/moha-aloe-vera-moisturizer-tube-of-200-gmbuy-1-get-1-free-2-1613392247.jpg?dim=300x0&f=jpg&dpr=3&q=60
Medlife Essentials Hair Skin & Nail - 60 Tablets,medlife-essentials-hair-skin-nail---60-tablets-3032473,MEDLIFE,179.70,True,https://cdn01.pharmeasy.in/dam/products_otc/P57505/medlife-essentials-hair-skin-nail-60-tablets-2-1610444884.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kesh King Anti Hairfall Shampoo Bottle Of 340 Ml,kesh-king-anti-hairfall-shampoo-bottle-of-340-ml-232191,Kesh King,191.25,True,https://cdn01.pharmeasy.in/dam/products_otc/L15097/kesh-king-anti-hairfall-shampoo-bottle-of-340-ml-2-1613110627.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kesh King Anti Hairfall Shampoo Bottle Of 200 Ml,kesh-king-anti-hairfall-shampoo-bottle-of-200-ml-232187,Kesh King,112.50,True,https://cdn01.pharmeasy.in/dam/products_otc/L84830/kesh-king-anti-hairfall-shampoo-bottle-of-200-ml-2-1613110248.jpg?dim=300x0&f=jpg&dpr=3&q=60
Baidyanath Mahabhringhraj Tel - 200 Ml,baidyanath-mahabhringhraj-tel---200-ml-236962,BAIDYANATH,236.00,True,https://cdn01.pharmeasy.in/dam/products_otc/K83407/baidyanath-mahabhringhraj-tel-200-ml-2-1613637261.jpg?dim=300x0&f=jpg&dpr=3&q=60
Wow Skin Science Red Onion Black Seed Oil Hair Conditioner - 100ml,wow-skin-science-red-onion-black-seed-oil-hair-conditioner---100ml-3032138,WOW,94.90,True,https://cdn01.pharmeasy.in/dam/products_otc/Q29314/wow-skin-science-red-onion-black-seed-oil-hair-conditioner-100ml-2-1609239388.jpg?dim=300x0&f=jpg&dpr=3&q=60
"Dove Oxygen Moisture Shampoo, 180 Ml",dove-oxygen-moisture-shampoo-180-ml-175519,DOVE,152.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I07709/dove-oxygen-moisture-shampoo-180-ml-2-1613111508.jpg?dim=300x0&f=jpg&dpr=3&q=60
Wow Skin Science Hair Loss Control Therapy Conditioner - 100ml,wow-skin-science-hair-loss-control-therapy-conditioner---100ml-3043075,WOW,100.10,True,https://cdn01.pharmeasy.in/dam/products_otc/G22634/wow-skin-science-hair-loss-control-therapy-conditioner-100ml-2-1609239334.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 60ml Shampoo,selsun-daily-bottle-of-60ml-shampoo-213748,SELSUN,186.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I39491/selsun-daily-bottle-of-60ml-shampoo-1-1604326574.jpg?dim=300x0&f=jpg&dpr=3&q=60
Godrej Expert Easy 5 Minute Hair Colour Sachet Natural Brown - Pack Of 3,godrej-expert-easy-5-minute-hair-colour-sachet-natural-brown---pack-of-3-3012396,GODREJ,102.00,True,https://cdn01.pharmeasy.in/dam/products_otc/D76731/godrej-expert-easy-5-minute-hair-colour-sachet-natural-brown-pack-of-3-2-1612764585.jpg?dim=300x0&f=jpg&dpr=3&q=60
Wow Skin Science  Hair Loss Control Therapy Shampoo  Bottle Of 500 Ml,wow-skin-science-hair-loss-control-therapy-shampoo-bottle-of-500-ml-237215,WOW,431.25,True,https://cdn01.pharmeasy.in/dam/products_otc/F34168/wow-skin-science-hair-loss-control-therapy-shampoo-bottle-of-500-ml-2-1613391833.jpg?dim=300x0&f=jpg&dpr=3&q=60
Himalaya Hair Zone Solution - 60ml,himalaya-hair-zone-solution---60ml-12872,HIMALAYA WELLNESS,212.50,True,https://cdn01.pharmeasy.in/dam/products_otc/224086/himalaya-hair-zone-solution-60ml-2-1618427034.jpg?dim=300x0&f=jpg&dpr=3&q=60
Minopep Conditioner 100gm,minopep-conditioner-100gm-193264,MINOPEP,291.50,True,https://cdn01.pharmeasy.in/dam/products_otc/I14009/minopep-conditioner-100gm-2-1597366217.jpg?dim=300x0&f=jpg&dpr=3&q=60
Dove Intense Repair Conditioner - 175 Ml,dove-intense-repair-conditioner---175-ml-2988438,DOVE,171.00,True,https://cdn01.pharmeasy.in/dam/products_otc/W16373/dove-intense-repair-conditioner-175-ml-2-1608732556.jpg?dim=300x0&f=jpg&dpr=3&q=60
Tresemme Keratin Smooth Condition 190ml,tresemme-keratin-smooth-condition-190ml-192287,TRESemme,198.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I13033/tresemme-keratin-smooth-condition-190ml-2-1601370817.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Plus  Anti Dandruff Shampoo  Bottle Of 75 Ml,scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-11943,SCALPE,208.00,True,https://cdn01.pharmeasy.in/dam/products_otc/270382/scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-1-1626360982.jpg?dim=300x0&f=jpg&dpr=3&q=60
"Arata Hair Fall Control Combo With Onion Oil, Argan Oil & Bhringraj | Power Of 5 In 1 Super Shampoo (300 Ml) And Conditioner (300 Ml)|| All-natural, Vegan & Cruelty-free",arata-hair-fall-control-combo-with-onion-oil-argan-oil-bhringraj-power-of-5-in-1-super-shampoo-300-ml-and-conditioner-300-ml-all-natural-vegan-cruelty-free-3132650,Arata,1278.40,True,https://cdn01.pharmeasy.in/dam/products_otc/S05967/arata-hair-fall-control-combo-with-onion-oil-argan-oil-bhringraj-power-of-5-in-1-super-shampoo-300-ml-and-conditioner-300-ml-all-natural-vegan-cruelty-free-2-1621263216.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,liveasy-wellness-vitamin-c-990mg-with-zinc-10mg---powerful-immunity-booster---60-veg-tablets-501054,LivEasy,399.50,True,https://cdn01.pharmeasy.in/dam/products_otc/E85132/liveasy-wellness-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-2-1605157039.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Oil Bottle Of 100 Ml,indulekha-bringha-hair-oil-bottle-of-100-ml-175530,Indulekha,410.40,True,https://cdn01.pharmeasy.in/dam/products_otc/I07716/indulekha-bringha-hair-oil-bottle-of-100-ml-2-1613111735.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,278.90,True,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1626360920.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EverHerb,299.50,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1619590019.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb Amla Juice-rich In Vitamin C-natural Immunity Booster - 1 Litre Bottle,everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster---1-litre-bottle-501052,EverHerb,199.50,True,https://cdn01.pharmeasy.in/dam/products_otc/D92359/everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster-1l-bottle-2-1600335790.jpg?dim=300x0&f=jpg&dpr=3&q=60
Triclenz Hair Cleanser Bottle Of 250 Ml,triclenz-hair-cleanser-bottle-of-250-ml-175810,TRICLENZ HAIR,450.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I09514/triclenz-hair-cleanser-250ml-1-1597365887.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Biotin 10000mcg With Calcium - Natural Protein For Hair - Prevents Hair Fall - Bottle Of 60,liveasy-wellness-biotin-10000mcg-with-calcium---natural-protein-for-hair---prevents-hair-fall---bottle-of-60-3462436,LivEasy,499.50,True,https://cdn01.pharmeasy.in/dam/products_otc/J34580/liveasy-wellness-biotin-10000mcg-with-calcium-natural-protein-for-hair-prevents-hair-fall-bottle-of-60-2-1613636763.jpg?dim=300x0&f=jpg&dpr=3&q=60
Johnson's Baby Shampoo No More Tears 50 Ml,johnson-s-baby-shampoo-no-more-tears-50-ml-51556,JOHNSON'S,55.68,True,https://cdn01.pharmeasy.in/dam/products_otc/097420/johnsons-baby-shampoo-no-more-tears-50-ml-2-1601631190.jpg?dim=300x0&f=jpg&dpr=3&q=60
Wow Skin Science Onion Black Seed Hair Oil-200 Ml,wow-skin-science-onion-black-seed-hair-oil-200-ml-237228,WOW,401.33,True,https://cdn01.pharmeasy.in/dam/products_otc/K90181/wow-skin-science-onion-black-seed-hair-oil-200-ml-2-1608817637.jpg?dim=300x0&f=jpg&dpr=3&q=60
Wow Skin Science Red Onion Black Seed Oil Shampoo - 500ml,wow-skin-science-red-onion-black-seed-oil-shampoo---500ml-237241,WOW,431.25,True,https://cdn01.pharmeasy.in/dam/products_otc/A91466/wow-skin-science-red-onion-black-seed-oil-shampoo-500ml-2-1613382592.jpg?dim=300x0&f=jpg&dpr=3&q=60
Baidyanath Rogan Badam Oil - 100 Ml,baidyanath-rogan-badam-oil---100-ml-236986,BAIDYANATH,308.00,True,https://cdn01.pharmeasy.in/dam/products_otc/T64180/baidyanath-rogan-badam-oil-100-ml-2-1613732422.jpg?dim=300x0&f=jpg&dpr=3&q=60
Hair 4u Conditioner Bottle - 100 Gm,hair-4u-conditioner-bottle---100-gm-11942,Hair 4U,307.50,True,https://cdn01.pharmeasy.in/dam/products_otc/270333/hair-4u-conditioner-100-gm-1-1597361789.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti Dry Revitalizing Shampoo - 200ml,sebamed-anti-dry-revitalizing-shampoo---200ml-28466,Sebamed,746.40,True,https://cdn01.pharmeasy.in/dam/products_otc/221712/sebamed-anti-dry-revitalizing-shampoo-bottle-of-200-ml-2-1601980996.jpg?dim=300x0&f=jpg&dpr=3&q=60
Baby Dove Rich Moisture Shampoo Bottle Of 200 Ml,baby-dove-rich-moisture-shampoo-bottle-of-200-ml-175474,BABY DOVE,193.50,True,https://cdn01.pharmeasy.in/dam/products_otc/I07157/baby-dove-rich-moisture-shampoo-bottle-of-200-ml-2-1613111673.jpg?dim=300x0&f=jpg&dpr=3&q=60
Himalaya Anti Hair Fall Shampoo - 400ml,himalaya-anti-hair-fall-shampoo---400ml-503686,HIMALAYA WELLNESS,195.50,True,https://cdn01.pharmeasy.in/dam/products_otc/K33936/himalaya-anti-hair-fall-shampoo-400ml-2-1597367213.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 500 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-500-ml-174504,Navratna,250.10,True,https://cdn01.pharmeasy.in/dam/products_otc/I07385/navratna-ayurvedic-cool-hair-oil-bottle-of-500-ml-2-1613111536.jpg?dim=300x0&f=jpg&dpr=3&q=60
"Set Wet Hair Gel For Men, Vertical Hold, Strong Hold, Jar 250 Ml ",set-wet-hair-gel-for-men-vertical-hold-strong-hold-jar-250-ml--487578,Set Wet,97.50,True,https://cdn01.pharmeasy.in/dam/products_otc/L61732/set-wet-styling-hair-gel-vertical-hold-jar-250-ml-2-1613110588.jpg?dim=300x0&f=jpg&dpr=3&q=60
Emami 7 Oils In One Damage Control Hair Oil Bottle Of 100 Ml,emami-7-oils-in-one-damage-control-hair-oil-bottle-of-100-ml-172209,EMAMI,60.30,True,https://cdn01.pharmeasy.in/dam/products_otc/I05668/emami-7-oils-in-one-damage-control-hair-oil-bottle-of-100-ml-2-1613111788.jpg?dim=300x0&f=jpg&dpr=3&q=60
Tresemme Hair Fall Defense Conditioner -190 Ml,tresemme-hair-fall-defense-conditioner--190-ml-529681,TRESemme,158.95,True,https://cdn01.pharmeasy.in/dam/products_otc/J13910/tresemme-hair-fall-defense-conditioner-190-ml-2-1611557400.jpg?dim=300x0&f=jpg&dpr=3&q=60
Tresemme Hair Fall Defense Shampoo-340 Ml,tresemme-hair-fall-defense-shampoo-340-ml-529760,TRESemme,232.75,True,https://cdn01.pharmeasy.in/dam/products_otc/R02828/tresemme-hair-fall-defense-shampoo-340-ml-2-1611557146.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sunsilk Coconut Water & Aloe Vera Volume Hair Shampoo - 370 Ml,sunsilk-coconut-water-aloe-vera-volume-hair-shampoo---370-ml-2988232,SUNSILK,209.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y75684/sunsilk-coconut-water-aloe-vera-volume-hair-shampoo-370-ml-2-1607671622.jpg?dim=300x0&f=jpg&dpr=3&q=60
